15:08:50 | LOCK_ACQUIRED | sim=0.57
15:08:50 | MOVE_LEFT | nose_x=0.27
15:08:51 | MOVE_LEFT | nose_x=0.29
15:08:52 | MOVE_LEFT | nose_x=0.28
15:08:53 | BLINK | EAR=0.22
15:08:53 | MOVE_LEFT | nose_x=0.28
15:08:54 | MOVE_LEFT | nose_x=0.29
15:08:55 | MOVE_LEFT | nose_x=0.31
15:08:56 | MOVE_LEFT | nose_x=0.32
15:08:57 | MOVE_LEFT | nose_x=0.39
15:08:58 | MOVE_LEFT | nose_x=0.35
15:08:59 | SMILE | ratio=0.45
15:08:59 | MOVE_LEFT | nose_x=0.35
15:08:59 | SMILE | ratio=0.45
15:08:59 | MOVE_LEFT | nose_x=0.36
15:08:59 | SMILE | ratio=0.45
15:08:59 | MOVE_LEFT | nose_x=0.36
15:08:59 | SMILE | ratio=0.46
15:08:59 | MOVE_LEFT | nose_x=0.36
15:09:00 | SMILE | ratio=0.45
15:09:00 | MOVE_LEFT | nose_x=0.36
15:09:00 | SMILE | ratio=0.46
15:09:00 | MOVE_LEFT | nose_x=0.36
15:09:00 | SMILE | ratio=0.45
15:09:00 | MOVE_LEFT | nose_x=0.36
15:09:00 | SMILE | ratio=0.46
15:09:00 | MOVE_LEFT | nose_x=0.35
15:09:00 | SMILE | ratio=0.46
15:09:00 | MOVE_LEFT | nose_x=0.35
15:09:00 | SMILE | ratio=0.45
15:09:00 | MOVE_LEFT | nose_x=0.35
15:09:01 | SMILE | ratio=0.46
15:09:01 | MOVE_LEFT | nose_x=0.34
15:09:01 | SMILE | ratio=0.45
15:09:01 | MOVE_LEFT | nose_x=0.34
15:09:02 | SMILE | ratio=0.47
15:09:02 | MOVE_LEFT | nose_x=0.42
15:09:02 | BLINK | EAR=0.22
15:09:02 | SMILE | ratio=0.46
15:09:02 | MOVE_LEFT | nose_x=0.41
15:09:02 | BLINK | EAR=0.17
15:09:02 | MOVE_LEFT | nose_x=0.41
15:09:03 | SMILE | ratio=0.45
15:09:03 | MOVE_LEFT | nose_x=0.40
15:09:03 | SMILE | ratio=0.46
15:09:03 | MOVE_LEFT | nose_x=0.40
15:09:04 | MOVE_LEFT | nose_x=0.37
15:09:05 | BLINK | EAR=0.21
15:09:05 | MOVE_LEFT | nose_x=0.36
15:09:05 | BLINK | EAR=0.18
15:09:05 | MOVE_LEFT | nose_x=0.36
15:09:05 | BLINK | EAR=0.21
15:09:05 | MOVE_LEFT | nose_x=0.36
15:09:06 | BLINK | EAR=0.17
15:09:06 | MOVE_LEFT | nose_x=0.36
15:09:06 | SMILE | ratio=0.45
15:09:06 | MOVE_LEFT | nose_x=0.36
15:09:06 | SMILE | ratio=0.45
15:09:06 | MOVE_LEFT | nose_x=0.36
15:09:06 | BLINK | EAR=0.19
15:09:06 | MOVE_LEFT | nose_x=0.36
15:09:06 | BLINK | EAR=0.21
15:09:06 | SMILE | ratio=0.45
15:09:06 | MOVE_LEFT | nose_x=0.45
15:09:07 | BLINK | EAR=0.22
15:09:07 | MOVE_LEFT | nose_x=0.47
15:09:07 | BLINK | EAR=0.21
15:09:07 | MOVE_LEFT | nose_x=0.44
15:09:07 | BLINK | EAR=0.21
15:09:07 | MOVE_LEFT | nose_x=0.44
15:09:08 | MOVE_RIGHT | nose_x=0.64
15:09:09 | MOVE_RIGHT | nose_x=0.93
15:09:11 | MOVE_RIGHT | nose_x=0.94
15:09:12 | MOVE_RIGHT | nose_x=0.93
15:09:13 | LOCK_LOST | Target disappeared
15:09:13 | LOCK_ACQUIRED | sim=0.40
15:09:13 | MOVE_RIGHT | nose_x=0.99
15:09:14 | LOCK_LOST | Target disappeared
15:09:15 | LOCK_ACQUIRED | sim=0.46
15:09:15 | MOVE_RIGHT | nose_x=0.77
15:09:16 | MOVE_LEFT | nose_x=0.46
15:09:17 | MOVE_LEFT | nose_x=0.40
15:09:18 | MOVE_LEFT | nose_x=0.30
15:09:19 | MOVE_LEFT | nose_x=0.27
15:09:20 | MOVE_LEFT | nose_x=0.29
15:09:21 | MOVE_LEFT | nose_x=0.28
15:09:22 | MOVE_LEFT | nose_x=0.27
15:09:23 | BLINK | EAR=0.12
15:09:23 | MOVE_LEFT | nose_x=0.28
15:09:24 | MOVE_LEFT | nose_x=0.29
15:09:25 | MOVE_LEFT | nose_x=0.29
15:09:26 | MOVE_LEFT | nose_x=0.31
