15:20:29 | LOCK_ACQUIRED | sim=0.59
15:20:29 | MOVE_LEFT | nose_x=0.43
15:20:30 | MOVE_LEFT | nose_x=0.42
15:20:32 | MOVE_LEFT | nose_x=0.46
15:20:33 | MOVE_LEFT | nose_x=0.45
15:20:34 | MOVE_LEFT | nose_x=0.44
15:20:35 | MOVE_LEFT | nose_x=0.42
15:20:36 | MOVE_LEFT | nose_x=0.43
15:20:37 | MOVE_LEFT | nose_x=0.47
15:20:38 | MOVE_LEFT | nose_x=0.48
15:20:39 | MOVE_LEFT | nose_x=0.49
15:20:40 | MOVE_RIGHT | nose_x=0.60
15:20:41 | LOCK_LOST | Target disappeared
15:20:43 | LOCK_ACQUIRED | sim=0.41
15:20:43 | MOVE_RIGHT | nose_x=0.94
15:20:44 | MOVE_RIGHT | nose_x=0.94
15:20:45 | MOVE_RIGHT | nose_x=0.91
15:20:47 | MOVE_RIGHT | nose_x=0.95
15:20:48 | MOVE_LEFT | nose_x=0.40
15:20:50 | LOCK_LOST | Target disappeared
15:21:00 | LOCK_ACQUIRED | sim=0.66
15:21:00 | MOVE_LEFT | nose_x=0.43
15:21:01 | MOVE_LEFT | nose_x=0.48
15:21:02 | MOVE_LEFT | nose_x=0.44
15:21:03 | MOVE_RIGHT | nose_x=0.62
15:21:04 | MOVE_RIGHT | nose_x=0.69
15:21:06 | MOVE_LEFT | nose_x=0.50
15:21:06 | BLINK | EAR=0.20
15:21:06 | MOVE_LEFT | nose_x=0.48
15:21:07 | MOVE_LEFT | nose_x=0.29
15:21:08 | MOVE_LEFT | nose_x=0.25
15:21:09 | BLINK | EAR=0.21
15:21:09 | MOVE_LEFT | nose_x=0.27
15:21:10 | MOVE_LEFT | nose_x=0.41
15:21:11 | MOVE_LEFT | nose_x=0.42
15:21:12 | MOVE_LEFT | nose_x=0.44
15:21:13 | MOVE_LEFT | nose_x=0.43
15:21:14 | MOVE_LEFT | nose_x=0.41
15:21:16 | MOVE_LEFT | nose_x=0.44
15:21:17 | MOVE_LEFT | nose_x=0.46
15:21:19 | MOVE_LEFT | nose_x=0.43
15:21:20 | MOVE_LEFT | nose_x=0.44
