14:48:26 | LOCK_ACQUIRED | sim=0.48
14:48:26 | MOVE_LEFT | nose_x=0.37
14:48:27 | LOCK_LOST | Target disappeared
14:48:28 | LOCK_ACQUIRED | sim=0.44
14:48:28 | MOVE_LEFT | nose_x=0.33
14:48:29 | MOVE_LEFT | nose_x=0.33
14:48:30 | MOVE_LEFT | nose_x=0.35
14:48:31 | MOVE_LEFT | nose_x=0.36
14:48:32 | MOVE_LEFT | nose_x=0.34
14:48:34 | MOVE_LEFT | nose_x=0.34
14:48:34 | BLINK | EAR=0.09
14:48:34 | MOVE_LEFT | nose_x=0.34
14:48:35 | MOVE_LEFT | nose_x=0.35
14:48:36 | MOVE_LEFT | nose_x=0.36
14:48:37 | MOVE_LEFT | nose_x=0.41
14:48:38 | MOVE_LEFT | nose_x=0.42
14:48:39 | MOVE_LEFT | nose_x=0.43
14:48:40 | MOVE_LEFT | nose_x=0.43
14:48:41 | MOVE_LEFT | nose_x=0.44
14:48:42 | MOVE_LEFT | nose_x=0.44
14:48:43 | MOVE_LEFT | nose_x=0.44
14:48:45 | MOVE_LEFT | nose_x=0.44
14:48:46 | MOVE_LEFT | nose_x=0.43
14:48:47 | MOVE_LEFT | nose_x=0.44
14:48:48 | SMILE | ratio=0.46
14:48:48 | MOVE_LEFT | nose_x=0.47
14:48:48 | SMILE | ratio=0.49
14:48:48 | MOVE_LEFT | nose_x=0.43
14:48:48 | SMILE | ratio=0.45
14:48:48 | MOVE_LEFT | nose_x=0.42
14:48:48 | SMILE | ratio=0.47
14:48:48 | MOVE_LEFT | nose_x=0.41
14:48:48 | SMILE | ratio=0.50
14:48:48 | MOVE_LEFT | nose_x=0.40
14:48:48 | SMILE | ratio=0.49
14:48:48 | MOVE_LEFT | nose_x=0.39
14:48:48 | SMILE | ratio=0.50
14:48:48 | MOVE_LEFT | nose_x=0.39
14:48:48 | SMILE | ratio=0.48
14:48:48 | MOVE_LEFT | nose_x=0.38
14:48:49 | SMILE | ratio=0.47
14:48:49 | MOVE_LEFT | nose_x=0.37
14:48:49 | SMILE | ratio=0.46
14:48:49 | MOVE_LEFT | nose_x=0.37
14:48:50 | MOVE_LEFT | nose_x=0.38
14:48:50 | SMILE | ratio=0.45
14:48:50 | MOVE_LEFT | nose_x=0.38
14:48:50 | SMILE | ratio=0.46
14:48:50 | MOVE_LEFT | nose_x=0.38
14:48:50 | SMILE | ratio=0.46
14:48:50 | MOVE_LEFT | nose_x=0.38
14:48:51 | SMILE | ratio=0.46
14:48:51 | MOVE_LEFT | nose_x=0.37
14:48:51 | SMILE | ratio=0.45
14:48:51 | MOVE_LEFT | nose_x=0.38
14:48:51 | BLINK | EAR=0.15
14:48:51 | MOVE_LEFT | nose_x=0.38
14:48:51 | SMILE | ratio=0.48
14:48:51 | MOVE_LEFT | nose_x=0.38
