15:47:20 | LOCK_ACQUIRED | sim=0.41
15:47:20 | BLINK | EAR=0.13
15:47:20 | SMILE | ratio=0.54
15:47:20 | MOVE_LEFT | nose_x=0.41
15:47:20 | BLINK | EAR=0.10
15:47:20 | SMILE | ratio=0.54
15:47:20 | MOVE_LEFT | nose_x=0.42
15:47:21 | BLINK | EAR=0.11
15:47:21 | SMILE | ratio=0.54
15:47:21 | MOVE_LEFT | nose_x=0.42
15:47:21 | BLINK | EAR=0.12
15:47:21 | SMILE | ratio=0.53
15:47:21 | MOVE_LEFT | nose_x=0.42
15:47:21 | BLINK | EAR=0.11
15:47:21 | SMILE | ratio=0.54
15:47:21 | MOVE_LEFT | nose_x=0.42
15:47:22 | SMILE | ratio=0.53
15:47:22 | MOVE_LEFT | nose_x=0.42
15:47:22 | BLINK | EAR=0.17
15:47:22 | SMILE | ratio=0.52
15:47:22 | MOVE_LEFT | nose_x=0.37
15:47:22 | SMILE | ratio=0.54
15:47:22 | MOVE_LEFT | nose_x=0.43
15:47:23 | BLINK | EAR=0.20
15:47:23 | SMILE | ratio=0.53
15:47:23 | MOVE_LEFT | nose_x=0.39
15:47:23 | SMILE | ratio=0.50
15:47:23 | MOVE_LEFT | nose_x=0.32
15:47:23 | BLINK | EAR=0.11
15:47:23 | MOVE_LEFT | nose_x=0.27
15:47:24 | MOVE_LEFT | nose_x=0.23
15:47:26 | BLINK | EAR=0.21
15:47:26 | SMILE | ratio=0.52
15:47:26 | MOVE_LEFT | nose_x=0.33
15:47:26 | SMILE | ratio=0.51
15:47:26 | MOVE_LEFT | nose_x=0.32
15:47:26 | SMILE | ratio=0.52
15:47:26 | MOVE_LEFT | nose_x=0.30
15:47:27 | SMILE | ratio=0.50
15:47:27 | MOVE_LEFT | nose_x=0.27
15:47:27 | SMILE | ratio=0.46
15:47:27 | MOVE_LEFT | nose_x=0.30
15:47:27 | SMILE | ratio=0.45
15:47:27 | MOVE_LEFT | nose_x=0.32
15:47:27 | SMILE | ratio=0.47
15:47:27 | MOVE_LEFT | nose_x=0.33
15:47:27 | SMILE | ratio=0.46
15:47:27 | MOVE_LEFT | nose_x=0.34
15:47:28 | BLINK | EAR=0.21
15:47:28 | MOVE_LEFT | nose_x=0.35
15:47:28 | SMILE | ratio=0.47
15:47:28 | MOVE_LEFT | nose_x=0.39
15:47:28 | SMILE | ratio=0.46
15:47:28 | MOVE_LEFT | nose_x=0.40
15:47:29 | SMILE | ratio=0.47
15:47:29 | MOVE_LEFT | nose_x=0.40
15:47:29 | BLINK | EAR=0.19
15:47:29 | MOVE_LEFT | nose_x=0.41
15:47:34 | BLINK | EAR=0.22
15:47:35 | BLINK | EAR=0.09
15:47:41 | SMILE | ratio=0.47
15:47:42 | SMILE | ratio=0.46
15:47:42 | MOVE_LEFT | nose_x=0.48
15:47:43 | BLINK | EAR=0.10
15:47:43 | SMILE | ratio=0.47
15:47:44 | BLINK | EAR=0.21
15:47:44 | SMILE | ratio=0.54
15:47:45 | SMILE | ratio=0.50
15:47:47 | SMILE | ratio=0.48
15:47:50 | BLINK | EAR=0.15
15:47:50 | SMILE | ratio=0.49
15:47:50 | MOVE_RIGHT | nose_x=0.73
15:47:50 | MOVE_LEFT | nose_x=0.47
15:47:51 | SMILE | ratio=0.46
15:47:52 | BLINK | EAR=0.21
15:47:52 | SMILE | ratio=0.46
15:47:53 | SMILE | ratio=0.46
15:47:55 | BLINK | EAR=0.17
15:47:55 | SMILE | ratio=0.46
15:47:55 | MOVE_RIGHT | nose_x=0.61
15:47:55 | BLINK | EAR=0.10
15:47:56 | MOVE_RIGHT | nose_x=0.64
15:47:56 | BLINK | EAR=0.20
15:47:56 | MOVE_RIGHT | nose_x=0.61
15:47:57 | BLINK | EAR=0.18
15:47:57 | MOVE_RIGHT | nose_x=0.60
15:48:00 | SMILE | ratio=0.47
15:48:00 | MOVE_LEFT | nose_x=0.47
15:48:01 | MOVE_LEFT | nose_x=0.38
15:48:02 | MOVE_LEFT | nose_x=0.36
15:48:03 | MOVE_LEFT | nose_x=0.35
15:48:05 | MOVE_LEFT | nose_x=0.40
15:48:06 | MOVE_LEFT | nose_x=0.44
15:48:07 | MOVE_LEFT | nose_x=0.43
15:48:08 | MOVE_LEFT | nose_x=0.43
15:48:09 | MOVE_LEFT | nose_x=0.44
15:48:10 | BLINK | EAR=0.06
15:48:10 | MOVE_LEFT | nose_x=0.40
15:48:11 | MOVE_LEFT | nose_x=0.39
15:48:13 | BLINK | EAR=0.08
15:48:13 | MOVE_LEFT | nose_x=0.34
15:48:14 | MOVE_LEFT | nose_x=0.48
15:48:15 | MOVE_LEFT | nose_x=0.45
15:48:16 | MOVE_LEFT | nose_x=0.44
15:48:17 | MOVE_LEFT | nose_x=0.45
15:48:18 | MOVE_LEFT | nose_x=0.44
15:48:19 | MOVE_LEFT | nose_x=0.44
15:48:20 | MOVE_LEFT | nose_x=0.43
15:48:21 | BLINK | EAR=0.21
15:48:21 | MOVE_LEFT | nose_x=0.45
15:48:21 | BLINK | EAR=0.16
15:48:21 | MOVE_LEFT | nose_x=0.46
15:48:21 | BLINK | EAR=0.13
15:48:21 | MOVE_LEFT | nose_x=0.46
15:48:22 | BLINK | EAR=0.15
15:48:22 | MOVE_LEFT | nose_x=0.46
15:48:22 | BLINK | EAR=0.14
15:48:22 | MOVE_LEFT | nose_x=0.46
15:48:23 | BLINK | EAR=0.06
15:48:23 | MOVE_LEFT | nose_x=0.37
15:48:25 | MOVE_LEFT | nose_x=0.17
15:48:25 | BLINK | EAR=0.16
15:48:25 | MOVE_LEFT | nose_x=0.23
15:48:27 | BLINK | EAR=0.18
15:48:28 | MOVE_RIGHT | nose_x=0.60
15:48:29 | MOVE_RIGHT | nose_x=0.69
15:48:30 | MOVE_RIGHT | nose_x=0.65
15:48:31 | MOVE_RIGHT | nose_x=0.64
15:48:32 | MOVE_RIGHT | nose_x=0.61
15:48:32 | BLINK | EAR=0.19
15:48:32 | MOVE_RIGHT | nose_x=0.62
15:48:34 | MOVE_RIGHT | nose_x=0.64
15:48:35 | BLINK | EAR=0.21
15:48:35 | MOVE_RIGHT | nose_x=0.70
15:48:35 | BLINK | EAR=0.16
15:48:36 | SMILE | ratio=0.45
15:48:36 | MOVE_LEFT | nose_x=0.37
15:48:37 | MOVE_LEFT | nose_x=0.29
15:48:38 | MOVE_LEFT | nose_x=0.28
15:48:39 | MOVE_LEFT | nose_x=0.34
15:48:41 | BLINK | EAR=0.11
15:48:41 | MOVE_LEFT | nose_x=0.39
15:48:41 | BLINK | EAR=0.19
15:48:41 | MOVE_LEFT | nose_x=0.38
15:48:42 | MOVE_LEFT | nose_x=0.38
15:48:44 | MOVE_LEFT | nose_x=0.40
15:48:45 | BLINK | EAR=0.21
15:48:45 | MOVE_RIGHT | nose_x=0.65
15:48:46 | MOVE_RIGHT | nose_x=0.91
15:48:47 | SMILE | ratio=0.46
15:48:47 | MOVE_RIGHT | nose_x=0.99
